id,label,comment,domains,ranges
contentURL,Content URL,"Actual bytes of the media object, for example the image file or video file.",MediaObject,URL
comment,Comment,"Comments, typically from users, on this CreativeWork.",CreativeWork,UserComments
additionalName,Additional Name,"An additional name for a Person, can be used for a middle name.",Person,Text
EndDate,End Date,"The end date and time of the event (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 date format</a>).",TVSeason Event TVSeries,Date
producer,Producer,"The producer of the movie, TV series, season, or episode, or video.",TVEpisode Movie TVSeries,Person
inPlaylist,In Playlist,The playlist to which this recording belongs.,MusicRecording,MusicPlaylist
reviewBody,Review Body,The actual body of the review,Review,Text
relatedTo,Related to,The most generic familial relation.,Person,Person
recipeCuisine,Recipe Cuisine,"The cuisine of the recipe (for example, French or Ethopian).",Recipe,Text
datePublished,Date Published,Date of first broadcast/publication.,CreativeWork,Date
addressLocality,Address Locality,"The locality. For example, Mountain View.",PostalAddress,Text
episodes,Episodes,The episode of a TV series or season.,TVSeason TVSeries,TVEpisode
AccountablePerson,Accountable Person,Specifies the Person that is legally accountable for the CreativeWork.,CreativeWork,Person
workLocation,Work Location,A contact location for a person's place of work.,Person,Place ContactPoint
keywords,Keywords,The keywords/tags used to describe this content.,CreativeWork,Text
availability,Availability,"The availability of this item—for example In stock, Out of stock, Pre-order, etc.",Offer,ItemAvailability
sodiumContent,Sodium Content,The number of milligrams of sodium.,NutritionInformation,Mass
title,Title,The title of the job.,JobPosting,Text
replyToUrl,Reply to Url,The URL at which a reply may be posted to the specified UserComment.,UserComments,URL
menu,Menu,Either the actual menu or a URL of the menu.,FoodEstablishment,Text URL
dateline,Dateline,The location where the NewsArticle was produced.,NewsArticle,Text
contentRating,Content Rating,"Official rating of a piece of content—for example,'MPAA PG-13'.",CreativeWork,Text
bestRating,Best Rating,"The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.",Rating,Number Text
occupationalCategory,Occupational Category,"Category or categories describing the job. Use BLS O*NET-SOC taxonomy: http://www.onetcenter.org/taxonomy.html. Ideally includes textual label and formal code, with the property repeated for each applicable value.",JobPosting,Text
associatedArticle,Associated Article,A NewsArticle associated with the Media Object.,MediaObject,NewsArticle
offers,Offers,"An offer to sell this item—for example, an offer to sell a product, the DVD of a movie, or tickets to an event.",Product CreativeWork Event,Offer
parents,Parents,A parents of the person.,Person,Person
location,Location,The location of the event or organization.,Organization Event,PostalAddress Place
latitude,Latitude,The latitude of a location. For example <code>37.42242</code>.,GeoCoordinates,Number Text
siblings,Siblings,A sibling of the person.,Person,Person
circle,Circle,A circle is the circular region of a specified radius centered at a specified latitude and longitude. A circle is expressed as a pair followed by a radius in meters.,GeoShape,Text
mainContentOfPage,Main Content of Page,Indicates if this web page element is the main subject of the page.,WebPage,WebPageElement
reviewCount,Review Count,The count of total number of reviews.,AggregateRating,Number
children,Children,A child of the person.,Person,Person
elevation,Elevation,The elevation of a location.,GeoShape GeoCoordinates,Text Number
printEdition,Print Edition,The edition of the print product in which the NewsArticle appears.,NewsArticle,Text
ContainedIn,Contained in,The basic containment relation between places.,Place,Place
offerCount,Offer Count,The number of offers for the product.,AggregateOffer,Integer
postalCode,Postal Code,"The postal code. For example, 94043.",PostalAddress,Text
itemCondition,Item Condition,"The condition of the item for sale—for example New, Refurbished, Used, etc.",Offer,OfferItemCondition
reviewRating,Review Rating,"The rating given in this review. Note that reviews can themselves be rated. The <code>reviewRating</code> applies to rating given by the review. The <code>aggregateRating</code> property applies to the review itself, as a creative work.",Review,Rating
height,Height,The height of the media object.,MediaObject,Distance
geo,Geo,The geo coordinates of the place.,Place,GeoCoordinates GeoShape
colleagues,Colleagues,A colleague of the person.,Person,Person
name,Name,The name of the item.,Thing,Text
priceCurrency,Price Currency,"The currency (in 3-letter <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 format</a>) of the offer price.",Offer,Text
skills,Skills,Skills required to fulfill this role.,JobPosting,Text
follows,Follows,The most generic uni-directional social relation.,Person,Person
printSection,Print Section,"If this NewsArticle appears in print, this field indicates the print section in which the article appeared.",NewsArticle,Text
alternativeHeadline,Alternative Headline,A secondary title of the CreativeWork.,CreativeWork,Text
email,Email,Email address.,Organization ContactPoint Person,Text
addressRegion,Address Region,"The region. For example, CA.",PostalAddress,Text
recipeYield,Recipe Yield,"The quantity produced by the recipe (for example, number of people served, number of servings, etc).",Recipe,Text
SubEvents,Sub Events,"Events that are a part of this event. For example, a conference event includes many presentations, each are SubEvents of the conference.",Event,Event
headline,Headline,Headline of the article,CreativeWork,Text
gender,Gender,Gender of the person.,Person,Text
paymentAccepted,Payment Accepted,"Cash, credit card, etc.",LocalBusiness,Text
givenName,Given Name,"Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the Name property.",Person,Text
contactPoints,Contact Points,A contact point for a person or organization.,Organization Person,ContactPoint
acceptsReservations,Accepts Reservations,"Either <code>Yes/No</code>, or a URL at which reservations can be made.",FoodEstablishment,Text URL
trailer,Trailer,"The trailer of the movie or TV series, season, or episode.",TVEpisode Movie TVSeries TVSeason,VideoObject
articleBody,Article Body,The actual body of the article.,Article,Text
videoQuality,Video Quality,The quality of the video.,VideoObject,Text
encodesCreativeWork,Encodes Creative Work,The creative work encoded by this media object,MediaObject,CreativeWork
creator,Creator,The creator/author of this CreativeWork or UserComments. This is the same as the Author property for CreativeWork.,UserComments CreativeWork,Person Organization
foundingDate,Founding Date,The date that this organization was founded.,Organization,Date
musicBy,Music by,The composer of the movie or TV soundtrack.,TVEpisode Movie TVSeries,Person MusicGroup
datePosted,Date Posted,Publication date for the job posting.,JobPosting,Date
affiliation,Affiliation,"An organization that this person is affiliated with. For example, a school/university, a club, or a team.",Person,Organization
video,Video,An embedded video object.,CreativeWork,VideoObject
encodings,Encodings,The media objects that encode this creative work,CreativeWork,MediaObject
duration,Duration,"The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 date format</a>.",Movie MediaObject MusicRecording Event,Duration
dateModified,Date Modified,The date on which the CreativeWork was most recently modified.,CreativeWork,Date
honorificSuffix,Honorific Suffix,An honorific suffix preceding a Person's name such as M.D. /PhD/MSCSW.,Person,Text
homeLocation,Home Location,A contact location for a person's residence.,Person,Place ContactPoint
episodeNumber,Episode Number,The episode number.,TVEpisode,Number
saturatedFatContent,Saturated Fat Content,The number of grams of saturated fat.,NutritionInformation,Mass
attendees,Attendees,A person attending the event.,Event,Person Organization
salaryCurrency,Salary Currency,"The currency (coded using ISO 4217, http://en.wikipedia.org/wiki/ISO_4217 used for the main salary information in this job posting.",JobPosting,Text
discussionUrl,Discussion Url,A link to the page containing the comments of the CreativeWork.,CreativeWork,URL
productionCompany,Production Company,"The production company or studio that made the movie, TV series, season, or episode, or video.",TVEpisode Movie VideoObject TVSeries,Organization
hiringOrganization,Hiring Organization,Organization offering the job position.,JobPosting,Organization
fatContent,Fat Content,The number of grams of fat.,NutritionInformation,Mass
worksFor,Works for,Organizations that the person works for.,Person,Organization
thumbnail,Thumbnail,Thumbnail image for an image or video.,VideoObject ImageObject,ImageObject
seller,Seller,The seller of the product.,Offer,Organization
version,Version,The version of the CreativeWork embodied by a specified resource.,CreativeWork,Number
priceRange,Price Range,"The price range of the business, for example <code>$$$</code>.",LocalBusiness,Text
jobTitle,Job Title,"The job title of the person (for example, Financial Manager).",Person,Text
provider,Provider,Specifies the Person or Organization that distributed the CreativeWork.,CreativeWork,Person Organization
isPartOf,Is Part of,Indicates the collection or gallery to which the item belongs.,WebPage,CollectionPage
primaryImageOfPage,Primary Image of Page,Indicates the main image on the page,WebPage,ImageObject
contentSize,Content Size,File size in (mega/kilo) bytes.,MediaObject,Text
familyName,Family Name,"Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the Name property.",Person,Text
memberOf,Member of,An organization to which the person belongs.,Person,Organization
significantLinks,Significant Links,"The most significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most",WebPage,URL
